album_id,album_name
ea865322-1102-462a-a9bf-771f85446481,Comedy
eac76940-a297-455b-b0a9-4940be6c8c84,Ghost (Acoustic)
6fe3bee0-5c82-419d-99d9-c3726a32cfb6,To Begin Again
a94224a5-010b-430d-b96b-f1f170bce51b,Crazy Rich Asians (Original Motion Picture Soundtrack)
8d2fcc87-d6a1-4faa-92d9-94be79892c8f,Hold On
09d214d8-b443-44fd-8971-700b3504cf6a,Days I Will Remember
2385395e-d6fc-4a2c-9cd9-7ce00e1288a5,Is There Anybody Out There?
6c243334-ae91-4fb6-bc97-8c8128c50e02,We Sing. We Dance. We Steal Things.
496a4bcb-21b1-4095-9abf-ac9b00f46fdf,Hunger
4f444632-f580-4cb0-b9d5-0fa8d94428ab,Episode
a9a09372-71c1-4341-a5b6-571477ad5522,Love Is a Four Letter Word
3a3c0a5d-9739-44ce-897b-5dcbbb8e9529,Solo
d448815e-523c-4826-a926-abdf41d7a4e3,Bad Liar
256f6586-fff5-40e3-8264-e441887c485a,Hold On (Remix)
6cb7afcd-c4d4-4632-91d9-24012f2431b7,The Boy Who Never
b3e1fc17-a24a-4856-a152-2c23fe5253d4,ily (i love you baby)
a461e36d-5e8e-4609-9274-23e5da6e5072,At My Worst
e64eb490-c1f1-407a-8903-f8df7d47e5a2,"Cover Sessions, Vol. 4"
a075bd29-fec3-41ed-9953-c5f9d4f1f848,"Cover Sessions, Vol. 3"
fb1b97ff-2e7d-4920-b3c7-4722d37f6d59,Is There Anybody Out There? - Track by Track Commentary
965c019b-37ba-4be4-b4f4-ec8de48dcb6e,Coffee Moment
0874988d-9528-46b2-8b47-1e9aa03da8b0,Human - Best Adult Pop Tunes
bb04b1b3-2fff-4943-b656-d7d773e73ea5,Mellow Adult Pop
a0412223-4d9a-4f1a-903c-73fc7ecf76b2,Holly Jolly Christmas
da3109d7-2141-4123-929c-5998dc1c1a6e,Feeling Good - Adult Pop Favorites
5aec2fc9-f7c1-4bca-a6f1-667a9f994353,Christmas Time
47a3c37e-52b7-4f9d-8943-ccc72d12cb5d,Perfect Christmas Hits
46e1c74e-59fc-4d27-9c07-cafadfc9c017,Merry Christmas
d598c30c-9395-48b8-857d-fbd86b780a71,Christmas Music - Holiday Hits
bc49d9ec-136c-4265-9b31-959fa77c268c,Christmas Country Songs 2022
2ce4fed6-fd4d-49bd-9831-608b4b175674,Mellow Bars R'n'B
d925bda4-6593-4766-8e58-aff5cb3ce55f,Chill Christmas Dinner
b1e57b54-b5ef-4caa-b5d2-3d7be8048900,rainy day indie
e1115cf1-65d7-421b-84f0-aa877d7b919f,sadsadchristmas
bd9a729b-d85a-4e8a-ae18-03bf6a047ae0,Mega Hits Autumn/Fall 2022
0d45e3ef-3deb-4ce7-af0e-d96c607bace4,Country Car Hits
743ec7b6-761f-4a80-9851-127c1fb6e0c6,Country Road Songs
26d59472-3c1c-438a-b4a9-cb9bd30dc28f,Finest Country
f80f3d8e-7a98-4a55-a73d-56a13558b98d,Easy Country
3b695efa-e2fb-41b1-abba-ed72b8894a8c,Cozy Country
8bd00b19-8a75-4b4a-9c88-f8ec09f0fae7,Good Times Country
87c4a283-b796-4223-8710-063cf4a7dd0d,Laidback Country
97966be9-43d7-4499-95a7-b54c9889bfb3,Chillin' It - Mellow Day Country
94c7893e-6ded-405e-af0b-7a47aac9745d,Trampoline (Acoustic)
68506929-d83a-40b7-9fcb-a828b8e6bf83,Documentary
2df2b453-6778-47de-942b-cf77a49a1fd9,Black Bear
91d94411-2764-4c6d-b0f4-2c02aa030948,The Bedroom Demos
c32c944e-fa67-4da3-a473-351f87481211,So Far Away (Acoustic)
c90c1ffb-2abd-4fa4-95d4-5b74d7907c41,Build It Better
e5f3fb4f-99f5-467c-b601-9ad062ee5de7,Sleepwalking in the Rain
ec3f8211-1fb9-4f8b-8628-6437ed7dc51d,Little Voice
cafb47ef-94c2-4983-9fc7-fe304771392f,What's Left of You
075a7ff1-bf77-4209-a316-d0190f226559,Pano
6e5b58b6-b963-453b-aaec-72feff0267af,The Daylight EP
ae173a3e-b521-4481-89e7-c19c875120c7,Montage Of Heck: The Home Recordings
e927c35f-89ba-4ac7-ba97-287e44effa87,Covers
ff7d09c8-ab08-4f60-9c68-d6dd912bfa55,Midnight Waves
bcc7c8c0-e5e3-42ed-93e6-585deb4ba4a2,Making All Things New
568c16ef-a6da-43a2-af02-6955df475f01,What's Inside: Songs from Waitress
63ac1f4c-e069-4f1c-a85b-77ae07844d21,In My Veins (Feat. Erin Mccarley)
9d4e9beb-10f1-4d23-9bee-85585a8d59ee,Under Covers
050e5f99-8553-4d7e-96ad-fb16c7de5695,Whatever It Takes
c8d167f6-3697-4704-b37f-2d862767dd05,America Town
1d55b9c5-ad01-439a-8a36-bb08292d6920,Dive Deep
953b8b04-965b-47b4-b486-075d40ef8f86,You're Still The One
7dff0598-ad03-41e3-a47b-21436ba750ea,It Doesn't Have To Make Sense
f78bd506-628f-44ce-8d21-edd83beba2d9,When the Morning Comes
a113e1b2-02fe-4c8f-9973-c2321f0dfea3,"Eat, Pray, Love"
1b21c37d-d826-4066-be46-8b1f71d4bacb,Good Light
9aa5354e-615b-45ba-a5b7-39f739b3618d,Know.
eedfaab2-f4de-450e-8a50-3fe8cde6017d,Break Up Songs
c58c2a2e-94d5-4b7a-a586-3f03dd1ff904,Into The Wild (Music For The Motion Picture)
8cd8595b-c0be-410f-adad-d117e7378612,u don't deserve me
bf2184e5-5440-45f3-9de5-8474c12b1cad,The Blessed Unrest
8953776a-ed96-41c3-a6d6-62c33e9d28ac,Slow Christmas Songs 2022
6494175b-0997-4eb5-b28d-3e5838d572d6,Lonely Christmas 2022
7ec45417-2308-495a-b624-b93fbf12644f,Bookmarks
97f0ee54-f23e-43f6-b28d-ee17f242e27b,Alternative Christmas 2022
ba54d958-6a6f-463a-91d0-f2fa6fd793f3,Acoustic Christmas Campfire
091ebe47-8937-40a8-888a-21efac0bfcc7,Del gusto de mamá
b66ab9fd-e550-4fcc-b366-1f1f2803f500,OO's Music Grandi Successi
135f7b9b-f9f0-4c8c-98b1-86c98d084338,言ノ葉
2e74f2df-6ce7-476d-9031-9b1e8383172e,Somebody Else (Acoustic)
8848da90-3599-4d6b-a71d-59686b678e07,Black Bear (Hushed)
1b20f425-b66d-468a-9189-2a3fbabbb150,Stand by Me
