track_id,track_name,duration_ms,explicit,popularity,time_signature,album_id
5SuOikwiRyPMVoIQDJUgSV,Comedy,230666,0,73,4,ea865322-1102-462a-a9bf-771f85446481
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,149610,0,55,4,eac76940-a297-455b-b0a9-4940be6c8c84
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,210826,0,57,4,6fe3bee0-5c82-419d-99d9-c3726a32cfb6
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,201933,0,71,3,a94224a5-010b-430d-b96b-f1f170bce51b
5vjLSffimiIP26QG5WcN2K,Hold On,198853,0,82,4,8d2fcc87-d6a1-4faa-92d9-94be79892c8f
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,214240,0,58,4,09d214d8-b443-44fd-8971-700b3504cf6a
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,229400,0,74,3,2385395e-d6fc-4a2c-9cd9-7ce00e1288a5
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,242946,0,80,4,6c243334-ae91-4fb6-bc97-8c8128c50e02
0IktbUcnAGrvD03AWnz3Q8,Lucky,189613,0,74,4,6c243334-ae91-4fb6-bc97-8c8128c50e02
7k9GuJYLp2AzqokyEdwEw2,Hunger,205594,0,56,4,496a4bcb-21b1-4095-9abf-ac9b00f46fdf
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,244800,0,74,4,4f444632-f580-4cb0-b9d5-0fa8d94428ab
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,240165,0,69,3,a9a09372-71c1-4341-a5b6-571477ad5522
4ptDJbJl35d7gQfeNteBwp,Solo,198712,0,52,4,3a3c0a5d-9739-44ce-897b-5dcbbb8e9529
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,248448,0,62,4,d448815e-523c-4826-a926-abdf41d7a4e3
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,188133,0,56,4,256f6586-fff5-40e3-8264-e441887c485a
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,244986,0,58,3,6cb7afcd-c4d4-4632-91d9-24012f2431b7
6xKeQgzfjixSUld14qUezm,ily (i love you baby),129750,0,56,4,b3e1fc17-a24a-4856-a152-2c23fe5253d4
4Yo0igmcoNyat1secaH0OD,At My Worst,169728,0,54,4,a461e36d-5e8e-4609-9274-23e5da6e5072
2qLMf6TuEC3ruGJg4SMMN6,Lucky,189613,0,68,4,6c243334-ae91-4fb6-bc97-8c8128c50e02
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,260186,0,67,4,e64eb490-c1f1-407a-8903-f8df7d47e5a2
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,242946,0,75,4,6c243334-ae91-4fb6-bc97-8c8128c50e02
210JCw2LbYD4YIs8GiZ9iP,Demons,174174,0,63,4,a075bd29-fec3-41ed-9953-c5f9d4f1f848
5TvE3pk05pyFIGdSY9j4DJ,Say Something,229400,0,70,3,fb1b97ff-2e7d-4920-b3c7-4722d37f6d59
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,216386,0,0,4,965c019b-37ba-4be4-b4f4-ec8de48dcb6e
3Hn3LfhrQOaKihdCibJsTs,Unlonely,231266,0,0,4,0874988d-9528-46b2-8b47-1e9aa03da8b0
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,302346,0,1,4,bb04b1b3-2fff-4943-b656-d7d773e73ea5
5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,131760,0,0,4,a0412223-4d9a-4f1a-903c-73fc7ecf76b2
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,273653,0,0,4,da3109d7-2141-4123-929c-5998dc1c1a6e
5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,131760,0,0,4,5aec2fc9-f7c1-4bca-a6f1-667a9f994353
2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,131760,0,0,4,47a3c37e-52b7-4f9d-8943-ccc72d12cb5d
3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,131760,0,0,4,46e1c74e-59fc-4d27-9c07-cafadfc9c017
3ax0rfGb7exLtl02LL08U9,Winter Wonderland,131760,0,0,4,d598c30c-9395-48b8-857d-fbd86b780a71
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,234186,0,0,4,bc49d9ec-136c-4265-9b31-959fa77c268c
3H36x7buZdQD4687VmFrwY,Party of One,259558,0,0,4,0874988d-9528-46b2-8b47-1e9aa03da8b0
0xbMRcMFqxJq1Wa7tvWPtn,Party of One,259558,0,0,4,da3109d7-2141-4123-929c-5998dc1c1a6e
6h061f44HZPj1OXO2nA45d,Party of One,259558,0,0,4,2ce4fed6-fd4d-49bd-9831-608b4b175674
62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,257493,0,0,4,d925bda4-6593-4766-8e58-aff5cb3ce55f
3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,247791,0,0,4,b1e57b54-b5ef-4caa-b5d2-3d7be8048900
1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,206267,0,0,4,965c019b-37ba-4be4-b4f4-ec8de48dcb6e
0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,257493,0,0,4,e1115cf1-65d7-421b-84f0-aa877d7b919f
6sp6Vx3sv2l5qxPfbQkcyt,The Haves,306794,0,0,4,bd9a729b-d85a-4e8a-ae18-03bf6a047ae0
1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,266960,0,0,4,bb04b1b3-2fff-4943-b656-d7d773e73ea5
0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,230098,0,0,4,0d45e3ef-3deb-4ce7-af0e-d96c607bace4
1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,230098,0,0,4,743ec7b6-761f-4a80-9851-127c1fb6e0c6
